bookIndex,bookSubIndex,book_title_English,book_title_Korean,author,recentOpenDate,tag,favorite,lastScroll,complete,isContent,ContentE,ContentK
11,A9,The Kingdom of the Lion,사자왕국,Aesop,,L0,,,,,"THE BEASTS of the field and forest had a Lion as their king. He was neither wrathful, cruel, nor tyrannical, but just and gentle as a king could be. During his reign he made a royal proclamation for a general assembly of all the birds and beasts, and drew up conditions for a universal league, in which the Wolf and the Lamb, the Panther and the Kid, the Tiger and the Stag, the Dog and the Hare, should live together in perfect peace and amity. The Hare said, “Oh, how I have longed to see this day, in which the weak shall take their place with impunity by the side of the strong.” And after the Hare said this, he ran for his life.","벌판(땅)과 숲의 짐승들이 사자 한 마리를 자신들의 왕으로 모시고 있었답니다.
그 사자는 화를 잘 내지도 그렇다고 잔인하거나 포악하지도 않았죠. 왕이 할 수 있는 가장 온화하고 정의로운 분이셨답니다.
그는 재임기간 중 새와 짐승 모두를 회의에 소집해 동물들 모두에게 적용되는 안건을 통과시켰답니다.
“늑대든 어린양이든, 표범이든 새끼염소든, 호랑이든 수사슴이든, 개든 산토끼든 이제 모두는 완전한 평화와 친목 속에 살 수 있어야 한다.”
그러자 산토끼가 눈물을 흘리며 말했어요.
“오, 이 날만을 얼마나 간절히 바래왔던가, 약자가 강자를 두려워하지 않고 살 수 있는 세상 말이야.”
이후 산토끼는 평생 마음껏 뛰어다닐 수 있었다네요."
12,A10,The Wolf and the Crane,늑대와 두루미,Aesop,,L0,,,,,"A WOLF who had a bone stuck in his throat hired a Crane, for a large sum, to put her head into his mouth and draw out the bone. When the Crane had extracted the bone and demanded the promised payment, the Wolf, grinning and grinding his teeth, exclaimed: “Why, you have surely already had a sufficient recompense, in having been permitted to draw out your head in safety from the mouth and jaws of a wolf.”
In serving the wicked, expect no reward, and be thankful if you escape injury for your pains.","목에 가시가 걸린 늑대가 두루미를 찾아가 말했어요.
“보답은 두둑이 할 테니 네 머리를 내 입에 넣어서 가시 좀 빼주렴.”
가시를 뽑아낸 두루미가 약속한 보답을 요구했어요.
그러자 늑대가 자신의 무시무시한 이빨을 드러내며 이를 갈더니 큰소리로 말했어요.
“흥, 늑대의 아가리(입)와 턱에 네 머리를 집어넣고도 무사히 다시 뺄 수 있었다면 이미 보상은 두둑이 받은 거 아냐!”
아셨죠, 사악한 사람을 도울 땐 절대 보답을 기대해선 안 돼요, 차라리 그 과정에서 해코지라도 당하지 않은 걸 천만다행으로 생각해야한답니다."
13,A11,The Fisherman Piping,피리부는 어부,Aesop,,L0,,,,,"A FISHERMAN skilled in music took his flute and his nets to the seashore. Standing on a projecting rock, he played several tunes in the hope that the fish, attracted by his melody, would of their own accord dance into his net, which he had placed below. At last, having long waited in vain, he laid aside his flute, and casting his net into the sea, made an excellent haul of fish. When he saw them leaping about in the net upon the rock he said: “O you most perverse creatures, when I piped you would not dance, but now that I have ceased you do so merrily.”","음악에 조예(지식)가 깊던 한 어부가 자신의 피리와 그물을 가지고 해안가로 갔어요.
그물을 아래에 설치한 다음, 돌출된 바위 위에 선 어부는 ‘물고기들이 내 멜로디에 이끌려 그물 속으로 춤을 추며 들어오겠지’라는 기대에 부풀어 몇 곡조 피리를 불었답니다.
하지만 아무리 기다려도 물고기 한 마리 그물로 들어오지 않지 뭐예요.
그래서 그가 피리를 내려놓고 바다로 그물을 던진 후 끌어올렸더니 엄청난 수의 물고기들이 올라왔어요.
바위 위에서 그물 속에 갇힌 물고기들이 사방으로 팔짝거리며 춤을 춰대는 꼴을 보고 있자니 어부가 저도 모르게 이렇게 말했지요.
“오, 이 제멋대로인 것들아, 내가 춤을 춰달고 그렇게 피리를 불러댈 동안엔 코빼기도 안 보이더니, 이제 가만히 좀 있어 달라 비니 이토록 명량하게 춤을 추는 거니.”"
14,A12,Hercules and the Wagoner,헤라클레스와 마부,Aesop,,L0,,,,,"A CARTER was driving a wagon along a country lane, when the wheels sank down deep into a rut. The rustic driver, stupefied and aghast, stood looking at the wagon, and did nothing but utter loud cries to Hercules to come and help him. Hercules, it is said, appeared and thus addressed him: “Put your shoulders to the wheels, my man. Goad on your bullocks, and never more pray to me for help, until you have done your best to help yourself, or depend upon it you will henceforth pray in vain.”
Self-help is the best help.","마부가 하루는 시골 길을 따라 마차를 몰고 가다 그만 수레바퀴들이 웅덩이 속에 깊게 빠지고 말았어요.
시골 마부는 너무 놀라 망연자실해진 나머지 자신의 마차 옆에 서서 멀거니 바라만보고 있다 큰 고함을 치며 “헤라클레스여, 오셔서 저 좀 도와주소서!”라고만 말할 뿐이었어요.
그 말대로 헤라클레스가 직접 나타나긴 했는데 다짜고짜 이렇게 마부에게 말하는 게 아니겠어요.
“저 수레바퀴들을 자네 어깨로 들어보는 시늉이라도 좀 하든가, 아님 황소를 뾰족한 막대기에 꽂아 굽기라도 해보든가 뭔가 하는 시늉이라도 최선을 다해 한 다음에야 내 도움을 청해야할 것이 아닌가. 그러지 않고서는 기도를 아무리 많이 해도 헛수고라네.”
하늘도 스스로 돕는 자를 돕는 법이랍니다."
15,A13,The Ants and the Grasshopper,개미와 베짱이,Aesop,,L0,,,,,"THE ANTS were spending a fine winter’s day drying grain collected in the summertime. A Grasshopper, perishing with famine, passed by and earnestly begged for a little food. The Ants inquired of him, “Why did you not treasure up food during the summer?’ He replied, “I had not leisure enough. I passed the days in singing.” They then said in derision: “If you were foolish enough to sing all the summer, you must dance supperless to bed in the winter.”","어느 활짝 갠 겨울날에 개미들이 자신들이 여름철에 모은 낟알(곡물)들을 말리고 있었어요.
그때 굶주림에 다 죽어가는 베짱이 한 마리가 지나가다 “먹을 걸 좀 만 나눠주겠니?”라며 빌었어요.
개미들이 베짱이에게 물었어요.
“그럼 넌 여름철에 음식을 모아두지 않고 뭘 한 거니?”
베짱이가 대답했어요.
“놀 시간도 부족하던걸. 매일같이 노래하느라 다 보냈지.”
그러자 개미들이 조롱하며 말했어요.
“여름철 내내 노래나 하고 있을 정도로 어리석다면, 그럼 겨울엔 밥을 거르면서까지 춤만 춰대면 되겠네요.”"
16,A14,The Traveler and His Dog,여행자와 그의 개,Aesop,,L0,,,,,"A TRAVELER about to set out on a journey saw his Dog stand at the door stretching himself. He asked him sharply: “Why do you stand there gaping? Everything is ready but you, so come with me instantly.” The Dog, wagging his tail, replied: “O, master! I am quite ready; it is you for whom I am waiting.”
The loiterer often blames delay on his more active friend.","막(이제 막) 여행을 떠나려던 한 여행자가 문 앞에서 쭉 기지개를 펴고 서 있는 자신의 개를 보게 되었어요.
빙정이 상한 그가 말했어요.
“너 왜 거기서 멍하니 서 있는 거니? 너 빼곤 다 준비했다고, 너도 나랑 갈거니 어서 준비해라.”
개가 자신의 꼬리를 살랑살랑 흔들며 대꾸했어요.
“오, 주인님! 전 준비 다 되어있었어요. 전 지금 주인님이 준비 끝나시기만을 기다리고 있었는 걸요.”
늦장꾸러기는 자기 잘못은 못 보고 종종 남 탓을 하기 일쑤죠."
17,A15,​The Dog and the Shadow,개와 그림자,Aesop,,L0,,,,,"A DOG, crossing a bridge over a stream with a piece of flesh in his mouth, saw his own shadow in the water and took it for that of another Dog, with a piece of meat double his own in size. He immediately let go of his own, and fiercely attacked the other Dog to get his larger piece from him. He thus lost both: that which he grasped at in the water, because it was a shadow; and his own, because the stream swept it away.","개 한 마리가 입에 고깃점(고기 한 조각)을 물고서 개울 위 다리를 건너다 물 위에 비친 자신의 그림자를 보고서 그게 자기 것보다 두 배가 큰 고깃점을 문 다른 개인 걸로 착각을 하고 말았어요.
그 즉시 개가 물고 있던 고깃점을 떨어뜨리곤 사납게 다른 개에게로 달려들고 말았어요, 그 개에게서 자기 거보다 더 큰 고깃점을 빼앗기 위해서였죠.
그리하여 개는 둘 다를 잃고 말았답니다.
그가 물로 뛰어들어 왈칵 붙잡은 건 그림자였고, 그리고 자신이 원래 물고 있던 그 고깃점은 개울에 그냥 유유히 떠내려가고 말았으니까요."
18,A16,The Mole and His Mother,두더지와 엄마,Aesop,,L0,,,,,"A MOLE, a creature blind from birth, once said to his Mother: “I am sure than I can see, Mother!” In the desire to prove to him his mistake, his Mother placed before him a few grains of frankincense, and asked, “What is it?’ The young Mole said, “It is a pebble.” His Mother exclaimed: “My son, I am afraid that you are not only blind, but that you have lost your sense of smell.","두더지는 태어날 때부터 앞이 안 보이는 동물이랍니다.
그런데 하루는 두더지가 자신의 엄마보고 말했어요.
“엄마, 나 보이는 거 같아, 확실해!”
그게 착각이란 걸 깨우치게 해주려는 목적에서, 엄마가 두더지 앞에 유향 알갱이 몇 개를 내려놓으며 물었어요.
“이게 뭐니?”
어린 두더지가 씩씩하게 말했어요.
“응, 조약돌이야.”
그러자 엄마가 탄식하며 말했어요.
“얘야, 난 네가 눈이 먼 것도 모자라 냄새 맡는 능력(후각)까지 잃었을까 두렵구나.”"
19,A17,The Herdsman and the Lost Bull,목동과 잃어버린 황소,Aesop,,L0,,,,,"A HERDSMAN tending his flock in a forest lost a Bull-calf from the fold. After a long and fruitless search, he made a vow that, if he could only discover the thief who had stolen the Calf, he would offer a lamb in sacrifice to Hermes, Pan, and the Guardian Deities of the forest. Not long afterwards, as he ascended a small hillock, he saw at its foot a Lion feeding on the Calf. Terrified at the sight, he lifted his eyes and his hands to heaven, and said: “Just now I vowed to offer a lamb to the Guardian Deities of the forest if I could only find out who had robbed me; but now that I have discovered the thief, I would willingly add a full-grown Bull to the Calf I have lost, if I may only secure my own escape from him in safety.”","목동이 소떼를 끌고 숲에 들어갔다 그만 어린숫송아지 한 마리를 잃고 말았어요.
한참을 정처 없이 찾던 목동이 이렇게 맹세를 했지요.
“송아지를 훔쳐간 도둑놈만 찾을 수 있다면, 헤르메스(전령의 신이자 도둑의 신. 그리스신화)와 판(목동의 신) 그리고 숲의 수호신님들을 위해 어린양 한 마리를 제물로 내놓겠습니다.”
그 후 머지않아 그가 조금 높은 곳으로 올라가보았더니, 발(사자의 발)에 송아지를 놓고 막 잡아먹고 있는 사자를 발견하게 되었어요.
그 광경에 소스라치게 놀란 목동이 두 손을 들어 하늘을 우러러보며 말했어요.
“제가 도둑놈만 찾을 수 있다면 숲의 수호신들에게 어린양을 내 놓겠다 방금 맹세했습니다. 그런데 이제는 따질 것도 없이 저 사자로부터 저라도 안전하게 도망칠 수 있다면 제가 방금 잃은 송아지에다 다 자란 황소까지 더해 제물로 드리겠나이다.”"
20,A18,The Hare and the Tortoise,토끼와 거북이,Aesop,,L0,,,,,"A HARE one day ridiculed the short feet and slow pace of the Tortoise, who replied, laughing: “Though you be swift as the wind, I will beat you in a race.” The Hare, believing her assertion to be simply impossible, assented to the proposal; and they agreed that the Fox should choose the course and fix the goal. On the day appointed for the race the two started together. The Tortoise never for a moment stopped, but went on with a slow but steady pace straight to the end of the course.
​
The Hare, lying down by the wayside, fell fast asleep. At last waking up, and moving as fast as he could, he saw the Tortoise had reached the goal, and was comfortably dozing after her fatigue.
Slow but steady wins the race.","토끼가 하루는 거북이의 짧은 다리와 느린 발걸음을 조롱했어요.
거북이가 웃으며 대꾸했어요.
“네가 아무리 날쌔게 잘 달린다 해도 난 널 달리기 시합에서 이길 수 있다고.”
그런 일은 절대 일어나지 않을 거라 확신한 토끼가 그 제안을 받아들였지요.
그들은 여우보고 시합장소와 결승점을 정하게 했어요.
시합 날 두 동물친구는 함께 출발을 하였답니다.
거북이는 한시도 멈추지 않고 꾸준히 달렸어요, 하지만 원체 느린 동물친구다 보니 발걸음은 너무 느리기만했지요, 그래도 그는 꾸준히 결승점까지 나아갔답니다.

한편 자신만만하던 토끼는 길가 옆에 드러누워 잠시 눈을 붙이다 그만 곯아떨어지고 말았어요.
마침내 깬 토끼가 있는 힘껏 달려보았지만, 결승점에 이미 도착한 거북이가 노곤해선 꾸벅꾸벅 편안히 졸고 있는 모습만 봐야했지요.
느려도 꾸준한 것이 시합에서 이기는 지름길이랍니다."
21,A19,"The Pomegranate, Apple-Tree, and Bramble",석류나무와 사과나무와 가시나무,Aesop,,L0,,,,,"THE POMEGRANATE and Apple-Tree disputed as to which was the most beautiful. When their strife was at its height, a Bramble from the neighboring hedge lifted up its voice, and said in a boastful tone: “Pray, my dear friends, in my presence at least cease from such vain disputings.”","하루는 석류나무와 사과나무가 서로 자신들이 가장 예쁘다며 말싸움을 하고 있었어요.
말싸움이 심해져 막 주먹다짐으로 번져가려고 할 때쯤, 가시나무가 근처 울타리에서 고개를 내밀며 한껏 뽐내는 말투로 이렇게 말했어요.
“됐어, 친구들, 내가 있는 한 그런 헛된 논쟁일랑은 그만 하라고.”(가시나무 자신이 가장 예쁘다는 의미겠죠?ㅋㅋ)"
22,A20,The Farmer and the Stork,농부와 황새,Aesop,,L0,,,,,"A FARMER placed nets on his newly-sown plowlands and caught a number of Cranes, which came to pick up his seed. With them he trapped a Stork that had fractured his leg in the net and was earnestly beseeching the Farmer to spare his life. “Pray save me, Master,” he said, “and let me go free this once. My broken limb should excite your pity. Besides, I am no Crane, I am a Stork, a bird of excellent character; and see how I love and slave for my father and mother. Look too, at my feathers — they are not the least like those of a Crane.”
​
The Farmer laughed aloud and said, “It may be all as you say, I only know this: I have taken you with these robbers, the Cranes, and you must die in their company.”
Birds of a feather flock together.","방금 막 씨를 뿌려놓은 밭에 농부가 덫들을 설치해놓았어요.
그래서 씨를 주워 먹으러 온 학들을 많이 잡았죠.
개중엔 덫에 그만 발이 걸려 다리가 부러지고 만 황새도 한 마리 붙잡혀 있었는데, 농부를 본 황새는 자신만은 살려 달라 애원했어요.
“저만은 살려주세요, 농부님,”라며 황새가 말했어요. “이번 한 번만 놓아주세요. 제 부러진 다리를 보시고 동정을 베풀어주세요. 게다가 저는 학이 아니에요, 저는 황새라고요. 새들 중의 가장 고귀한 성격을 지닌 새 말이에요. 저희 엄마 아빠가 저를 끔찍이도 사랑하시는 걸 생각해주세요. 이번 한 번만 제발요. 제 깃털을 보세요… 제가 어디 학처럼 생겼단 말씀이세요.”
​
농부가 껄껄 소리 내며 크게 웃더니 말했어요.
“네가 하나만 알고 둘은 모르는 구나. 이걸 알아야지. 내가 너를 도둑들인 학들과 함께 잡았단 사실이다. 그러니 너도 얘네들처럼 죽어야하지 않겠니.”
끼리끼리 모이기 마련이니 농부도 황새를 미워한 거죠."
