index,contentE,contentK
65,"“My sons, if you are of one mind, and unite to assist each other, you will be as this faggot, uninjured by all the attempts of your enemies; but if you are divided among yourselves, you will be broken as easily as these sticks.”","“아들들아, 너희가 마음을 합치고 서로 돕는다면 너희는 이 나무 묶음처럼 될 수 있다 그럼 누가 너희들을 해코지하려해도 실패할 것이다. 하지만 너희가 서로 불열하고 다툰다면 이 나무 막대기처럼 쉽게 부러지고 만단다.”"
66,,
67,7. The Boy Hunting Locusts,7. 메뚜기 잡으려다 일낸 소년
68,,
69,A BOY was hunting for locusts.,메뚜기를 잡으러 나선 소년이 있었어요.
70,"He had caught a goodly number, ",그래서 메뚜기들을 잔뜩 잡았답니다.
71,"when he saw a Scorpion, and mistaking him for a locust, reached out his hand to take him.","그러다 전갈 한 마리를 발견했는데, 소년은 그만 그 전갈도 메뚜기라 착각하고서 손을 내뻗어 쥐고 말았어요, 전갈을 말이죠."
72,"The Scorpion, showing his sting, said: If you had but touched me, my friend,",전갈이 독침을 드러내며 말했어요.
73,"you would have lost me, and all your locusts too!”","“나를 건들지만 않았어도, 목숨을 잃지도 그리고 그 많은 메뚜기들을 잃지도 않았을 텐데!”"
74,,
75,8. The Cock and the Jewel,8. 수탉과 보석
76,​,
77,"A COCK, scratching for food for himself and his hens, found a precious stone and exclaimed:",수탉이 자신의 가족과 암탉을 위해 먹이를 찾아 땅을 긁다 그만 보석을 하나 발견하곤 탄식하며 말했어요.
78,"“If your owner had found thee, and not I, he would have taken thee up, and have set thee in thy first estate; but I have found thee for no purpose. I would rather have one barleycorn than all the jewels in the world.”","“내가 아니라, 네 원주인이 널 찾았더라면 좋아라하고 귀하게 다루었겠지만, 넌 내겐 전혀 쓸모가 없구나, 차라리 이 세상 모든 보석들보다 지금 당장은 보리알 한 알이 내겐 더 필요하거든.”"
79,,
80,9. The Kingdom of the Lion,9. 사자 왕국
81,​,
82,THE BEASTS of the field and forest had a Lion as their king. ,벌판(땅)과 숲의 짐승들이 사자 한 마리를 자신들의 왕으로 모시고 있었답니다.
83,"He was neither wrathful, cruel, nor tyrannical, but just and gentle as a king could be.",그 사자는 화를 잘 내지도 그렇다고 잔인하거나 포악하지도 않았죠. 왕이 할 수 있는 가장 온화하고 정의로운 분이셨답니다.
84,"During his reign he made a royal proclamation for a general assembly of all the birds and beasts, and drew up conditions for a universal league,",그는 재임기간 중 새와 짐승 모두를 회의에 소집해 동물들 모두에게 적용되는 안건을 통과시켰답니다.
85,"in which the Wolf and the Lamb, the Panther and the Kid, the Tiger and the Stag, the Dog and the Hare, should live together in perfect peace and amity. ","“늑대든 어린양이든, 표범이든 새끼염소든, 호랑이든 수사슴이든, 개든 산토끼든 이제 모두는 완전한 평화와 친목 속에 살 수 있어야 한다.”"
86,"The Hare said, “Oh, how I have longed to see this day, in which the weak shall take their place with impunity by the side of the strong.” ","그러자 산토끼가 눈물을 흘리며 말했어요. “오, 이 날만을 얼마나 간절히 바래왔던가, 약자가 강자를 두려워하지 않고 살 수 있는 세상 말이야.”"
87,"And after the Hare said this, he ran for his life.",이후 산토끼는 평생 마음껏 뛰어다닐 수 있었다네요.
88,,
89,10. The Wolf and the Crane,10. 늑대와 두루미
90,,
91,"A WOLF who had a bone stuck in his throat hired a Crane,",목에 가시가 걸린 늑대가 두루미를 찾아가 말했어요.
92,"for a large sum, to put her head into his mouth and draw out the bone.",“보답은 두둑이 할 테니 네 머리를 내 입에 넣어서 가시 좀 빼주렴.”
93,"When the Crane had extracted the bone and demanded the promised payment,",가시를 뽑아낸 두루미가 약속한 보답을 요구했어요.
94,"the Wolf, grinning and grinding his teeth, exclaimed:",그러자 늑대가 자신의 무시무시한 이빨을 드러내며 이를 갈더니 큰소리로 말했어요.
95,"“Why, you have surely already had a sufficient recompense, in having been permitted to draw out your head in safety from the mouth and jaws of a wolf.”","“흥, 늑대의 아가리(입)와 턱에 네 머리를 집어넣고도 무사히 다시 뺄 수 있었다면 이미 보상은 두둑이 받은 거 아냐!”"
96,"In serving the wicked, expect no reward, and be thankful if you escape injury for your pains.","아셨죠, 사악한 사람을 도울 땐 절대 보답을 기대해선 안 돼요, 차라리 그 과정에서 해코지라도 당하지 않은 걸 천만다행으로 생각해야한답니다."
97,,
98,11. The Fisherman Piping,11. 피리 부는 어부
99,​,
100,A FISHERMAN skilled in music took his flute and his nets to the seashore.,음악에 조예(지식)가 깊던 한 어부가 자신의 피리와 그물을 가지고 해안가로 갔어요.
101,"Standing on a projecting rock, he played several tunes in the hope that the fish, attracted by his melody, would of their own accord dance into his net,which he had placed below.","그물을 아래에 설치한 다음, 돌출된 바위 위에 선 어부는 ‘물고기들이 내 멜로디에 이끌려 그물 속으로 춤을 추며 들어오겠지’라는 기대에 부풀어 몇 곡조 피리를 불었답니다."
102,"At last, having long waited in vain,",하지만 아무리 기다려도 물고기 한 마리 그물로 들어오지 않지 뭐예요.
103,"he laid aside his flute, and casting his net into the sea, made an excellent haul of fish.",그래서 그가 피리를 내려놓고 바다로 그물을 던진 후 끌어올렸더니 엄청난 수의 물고기들이 올라왔어요.
104,When he saw them leaping about in the net upon the rock he said:,바위 위에서 그물 속에 갇힌 물고기들이 사방으로 팔짝거리며 춤을 춰대는 꼴을 보고 있자니 어부가 저도 모르게 이렇게 말했지요.
105,"“O you most perverse creatures, when I piped you would not dance, but now that I have ceased you do so merrily.”","“오, 이 제멋대로인 것들아, 내가 춤을 춰달고 그렇게 피리를 불러댈 동안엔 코빼기도 안 보이더니, 이제 가만히 좀 있어 달라 비니 이토록 명량하게 춤을 추는 거니.”"
106,,
107,12. Hercules and the Wagoner,12. 헤라클레스와 마부
108,​,
109,"A CARTER was driving a wagon along a country lane, when the wheels sank down deep into a rut.",마부가 하루는 시골 길을 따라 마차를 몰고 가다 그만 수레바퀴들이 웅덩이 속에 깊게 빠지고 말았어요.
110,"The rustic driver, stupefied and aghast, stood looking at the wagon, and did nothing but utter loud cries to Hercules to come and help him.","시골 마부는 너무 놀라 망연자실해진 나머지 자신의 마차 옆에 서서 멀거니 바라만보고 있다 큰 고함을 치며 “헤라클레스여, 오셔서 저 좀 도와주소서!”라고만 말할 뿐이었어요."
111,"Hercules, it is said, appeared and thus addressed him:",그 말대로 헤라클레스가 직접 나타나긴 했는데 다짜고짜 이렇게 마부에게 말하는 게 아니겠어요.
112,"“Put your shoulders to the wheels, my man. Goad on your bullocks, and never more pray to me for help, until you have done your best to help yourself, or depend upon it you will henceforth pray in vain.”","“저 수레바퀴들을 자네 어깨로 들어보는 시늉이라도 좀 하든가, 아님 황소를 뾰족한 막대기에 꽂아 굽기라도 해보든가 뭔가 하는 시늉이라도 최선을 다해 한 다음에야 내 도움을 청해야할 것이 아닌가. 그러지 않고서는 기도를 아무리 많이 해도 헛수고라네.”"
113,Self-help is the best help.,하늘도 스스로 돕는 자를 돕는 법이랍니다.
114,,
115,13. The Ants and the Grasshopper,13. 개미와 베짱이
116,... Updating​,... 업로드 중 
